hospital_id,month,admissions,avg_los_days,bed_occupancy_rate,mortality_rate
Hospital_4,2021-01-01,76,6.53,0.762,0.0308
Hospital_4,2021-02-01,80,5.95,0.793,0.0355
Hospital_4,2021-03-01,83,5.88,0.755,0.0259
Hospital_4,2021-04-01,58,6.03,0.765,0.0224
Hospital_4,2021-05-01,80,5.26,0.767,0.0233
Hospital_4,2021-06-01,78,5.74,0.763,0.0317
Hospital_4,2021-07-01,78,5.56,0.749,0.027
Hospital_4,2021-08-01,79,5.43,0.734,0.031
Hospital_4,2021-09-01,73,5.62,0.733,0.0385
Hospital_4,2021-10-01,82,6.03,0.779,0.0238
Hospital_4,2021-11-01,78,5.05,0.778,0.0267
Hospital_4,2021-12-01,88,5.57,0.731,0.0312
Hospital_4,2022-01-01,84,4.9,0.793,0.0274
Hospital_4,2022-02-01,98,5.46,0.759,0.0442
Hospital_4,2022-03-01,94,5.78,0.77,0.0283
Hospital_4,2022-04-01,78,5.35,0.83,0.0422
Hospital_4,2022-05-01,97,5.64,0.794,0.0455
Hospital_4,2022-06-01,87,5.19,0.774,0.0114
Hospital_4,2022-07-01,94,5.01,0.818,0.031
Hospital_4,2022-08-01,79,4.66,0.737,0.0323
Hospital_4,2022-09-01,84,5.05,0.802,0.0296
Hospital_4,2022-10-01,88,4.79,0.808,0.0272
Hospital_4,2022-11-01,73,5.01,0.787,0.0301
Hospital_4,2022-12-01,90,4.74,0.845,0.0282
Hospital_4,2023-01-01,90,4.27,0.817,0.0318
Hospital_4,2023-02-01,91,4.61,0.787,0.0422
Hospital_4,2023-03-01,97,4.28,0.806,0.0279
Hospital_4,2023-04-01,94,4.23,0.826,0.0359
Hospital_4,2023-05-01,89,4.75,0.763,0.0449
Hospital_4,2023-06-01,79,3.85,0.765,0.0308
Hospital_4,2023-07-01,95,4.53,0.809,0.0148
Hospital_4,2023-08-01,96,3.95,0.876,0.0328
Hospital_4,2023-09-01,105,3.27,0.819,0.0211
Hospital_4,2023-10-01,76,4.05,0.804,0.018
Hospital_4,2023-11-01,94,3.62,0.844,0.0338
Hospital_4,2023-12-01,80,3.22,0.814,0.025
Hospital_5,2021-01-01,172,6.04,0.72,0.0353
Hospital_5,2021-02-01,154,7.23,0.713,0.0187
Hospital_5,2021-03-01,167,6.11,0.727,0.0471
Hospital_5,2021-04-01,166,6.6,0.674,0.028
Hospital_5,2021-05-01,166,6.38,0.681,0.0512
Hospital_5,2021-06-01,174,5.81,0.772,0.0429
Hospital_5,2021-07-01,170,6.04,0.755,0.0227
Hospital_5,2021-08-01,178,6.16,0.764,0.0256
Hospital_5,2021-09-01,160,6.71,0.735,0.0059
Hospital_5,2021-10-01,171,6.8,0.754,0.0347
Hospital_5,2021-11-01,171,6.58,0.809,0.0314
Hospital_5,2021-12-01,177,6.99,0.79,0.0302
Hospital_5,2022-01-01,173,6.13,0.747,0.0242
Hospital_5,2022-02-01,184,6.51,0.725,0.0362
Hospital_5,2022-03-01,165,6.31,0.736,0.022
Hospital_5,2022-04-01,177,7.18,0.743,0.0213
Hospital_5,2022-05-01,175,6.61,0.749,0.0322
Hospital_5,2022-06-01,167,6.67,0.8,0.0195
Hospital_5,2022-07-01,199,6.56,0.702,0.0272
Hospital_5,2022-08-01,193,7.15,0.722,0.0411
Hospital_5,2022-09-01,193,6.11,0.705,0.0271
Hospital_5,2022-10-01,179,6.75,0.795,0.0363
Hospital_5,2022-11-01,161,6.29,0.78,0.0271
Hospital_5,2022-12-01,185,6.89,0.707,0.0282
Hospital_5,2023-01-01,188,7.07,0.745,0.036
Hospital_5,2023-02-01,199,6.41,0.817,0.0283
Hospital_5,2023-03-01,164,7.27,0.725,0.0356
Hospital_5,2023-04-01,182,6.95,0.758,0.0182
Hospital_5,2023-05-01,196,6.13,0.782,0.0249
Hospital_5,2023-06-01,184,7.12,0.769,0.0408
Hospital_5,2023-07-01,174,7.14,0.828,0.0239
Hospital_5,2023-08-01,204,7.44,0.811,0.033
Hospital_5,2023-09-01,194,6.77,0.768,0.0321
Hospital_5,2023-10-01,189,6.82,0.809,0.0234
Hospital_5,2023-11-01,185,6.75,0.779,0.0525
Hospital_5,2023-12-01,194,6.93,0.788,0.026
